,stromal_score,immune_score,estimate_score,tumor_purity,true_purity
TCGA-LIHC-0125,-0.6028846480950472,-0.2921264584246321,-0.8950111065196793,0.8225840906109267,0.9644093527378761
TCGA-LIHC-0126,0.24095905676731627,0.20347341273690142,0.44443246950421766,0.8224722709986635,0.5968443649288645
TCGA-LIHC-0127,-0.18662320691936313,-0.0057756223985554545,-0.19239882931791857,0.8225254390014736,0.953643459413969
TCGA-LIHC-0128,0.3993909242901918,0.26250889187440607,0.6618998161645979,0.8224541133596208,0.53944704341194
TCGA-LIHC-0129,0.5232689866043628,0.047556363432422914,0.5708253500367857,0.8224617178091551,0.48670835374969135
TCGA-LIHC-0130,-0.5129554304288108,0.0184904424597326,-0.4944649879690782,0.8225506554975066,0.8837660391628253
TCGA-LIHC-0131,0.36984029056423534,0.051227128156509934,0.42106741872074527,0.8224742218355219,0.583987365990651
TCGA-LIHC-0132,-0.4345968147335196,0.1771879272235477,-0.2574088875099719,0.8225308661805179,0.8116414081413805
TCGA-LIHC-0133,-0.15316724329443754,-0.19114196870856529,-0.3443092120030028,0.8225381206889465,0.8713233678974095
TCGA-LIHC-0134,-0.22884283636316635,-0.22040828017855116,-0.4492511165417175,0.8225468811444697,0.8577605028770214
TCGA-LIHC-0135,0.15151936074034394,0.17864018229173614,0.33015954303208006,0.8224818119873912,0.6284379839620208
TCGA-LIHC-0136,0.006728253208869331,0.007100322771910964,0.013828575980780295,0.8225082221998375,0.7601322772949104
TCGA-LIHC-0137,-0.3065843417600222,-0.22107020271995095,-0.5276545444799732,0.8225534260645215,0.7783877583330863
TCGA-LIHC-0138,0.6953334088288329,0.5659084612074768,1.2612418700363097,0.8224040663978918,0.3371276707155157
TCGA-LIHC-0139,-0.11529883261648129,0.19877009035159315,0.08347125773511187,0.8225024079418114,0.7414284702112457
TCGA-LIHC-0140,-0.151622118992348,-0.6077622620164275,-0.7593843810087755,0.8225727696488631,0.8605380031959957
TCGA-LIHC-0141,-0.49324260735022074,-0.45831380724384746,-0.9515564145940683,0.822588810434579,0.8839357923009384
TCGA-LIHC-0142,-0.39562926658067726,-0.13449020963944758,-0.5301194762201249,0.8225536318290283,0.8451055258773464
TCGA-LIHC-0143,0.0034122623958593766,-0.05943886691572315,-0.05602660451986377,0.8225140541123954,0.7518432075399782
TCGA-LIHC-0144,-0.32972582051756455,-0.5145450218178105,-0.8442708423353751,0.8225798552846892,0.8605401987456005
TCGA-LIHC-0145,0.1143435869193039,0.041225473389945935,0.15556906030924983,0.8224963886225789,0.6587121830756478
TCGA-LIHC-0146,-0.5799208162258243,-0.6843546417368548,-1.264275457962679,0.8226149119966895,0.9412778144812646
TCGA-LIHC-0147,-0.08852201164689702,-0.26285987476907374,-0.3513818864159708,0.8225387111155602,0.8619130919985593
TCGA-LIHC-0148,-0.09231612794595406,-0.22915162916811296,-0.32146775711406705,0.8225362138790328,0.6808863617407889
TCGA-LIHC-0149,-0.03884130072719179,-0.10293350444687113,-0.14177480517406293,0.8225212127475229,0.691899498580204
TCGA-LIHC-0150,0.1369771711416247,-0.08471408711810752,0.052263084023517176,0.8225050134289944,0.7428365789787669
TCGA-LIHC-0151,-0.07413699994948396,-0.13171595873266692,-0.20585295868215087,0.8225265621871862,0.7831983410981689
TCGA-LIHC-0152,-0.32239339938988604,-0.09648988136375561,-0.4188832807536417,0.8225443460850013,0.872321351317976
TCGA-LIHC-0153,-0.6098461092650036,-0.6527643224031203,-1.262610431668124,0.8226147730273724,0.9487357819864348
TCGA-LIHC-0154,0.22990539407581048,0.06959192242996753,0.29949731650577804,0.8224843720290985,0.6442668352404964
TCGA-LIHC-0155,-0.006810137335754318,-0.09771341850536154,-0.10452355584111586,0.822518102866181,0.6668148792089259
TCGA-LIHC-0156,0.3240718649505043,0.15051218331849298,0.47458404826899725,0.8224697535145025,0.5886931503820583
TCGA-LIHC-0157,0.17735511991814543,0.13497419822901258,0.31232931814715803,0.8224833006653736,0.5903204199626304
TCGA-LIHC-0158,-0.34126224595043614,-0.05186185904160396,-0.3931241049920401,0.8225421957364567,0.7712686944014903
TCGA-LIHC-0159,-0.09218524139227458,0.48402770694280445,0.3918424655505299,0.822476661924275,0.6591680708240923
TCGA-LIHC-0160,0.19247318777203018,0.048360683827418365,0.24083387159944855,0.8224892698939615,0.6614574998030279
TCGA-LIHC-0161,0.33793438320077535,0.11516355110235388,0.4530979343031292,0.822471547483626,0.6695045345034302
TCGA-LIHC-0162,0.10670857976216692,0.07007539843291209,0.17678397819507902,0.8224946174087082,0.6321997229232356
TCGA-LIHC-0163,0.5781686556430009,0.15007535412073436,0.7282440097637353,0.822448573722426,0.5546529389784273
TCGA-LIHC-0164,-0.6626218574001455,-0.4483577901355735,-1.110979647535719,0.8226021171494544,0.9575456535531385
TCGA-LIHC-0165,0.338616583375364,0.29327900090665815,0.6318955842820222,0.8224566186407996,0.6243781501079966
TCGA-LIHC-0166,-0.0484467717340545,0.10246186846665892,0.05401509673260442,0.8225048671585837,0.7572521680071184
