molecule_chembl_id,known_name,pref_name,synonyms,molecule_type,max_phase,best_IC50_nM,best_IC50_units,best_EC50_nM,best_inhibition_pct,best_pchembl_value,action_type_clean,standard_types,targets,target_names,num_activities,document_years,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_logp,cx_logd,canonical_smiles
CHEMBL5741863,,,,,,11.8,nM,,,,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,399.45,2.55,6,1,88.06,4,0,,,N#Cc1ccc(OC2CC(c3ccc(F)cc3)CC2N2CC(N)CC(F)C2)nn1
CHEMBL5567783,BI-749327 (81% similar),,,,,13.0,nM,,,7.89,ANTAGONIST,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2024.0,430.55,5.17,5,1,81.34,4,1,,,CC(C)(C)c1ccc(Oc2ccc(C(=O)N3CCC(c4ccc(N)nn4)CC3)cc2)cc1
CHEMBL6065445,,,,,,13.7,nM,,,7.86,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,381.46,2.60,6,1,88.06,4,0,,,N#Cc1cnc(OC2CC(c3ccc(F)cc3)CC2N2CCCC(N)C2)cn1
CHEMBL5794171,,,,,,14.1,nM,,,7.85,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,361.49,3.67,4,1,62.28,4,0,,,N#Cc1ccccc1OC1CC(c2ccccc2)CC1N1CCCC(N)C1
CHEMBL2418807,,,,Small molecule,,16.0,nM,,,7.8,,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2013.0,359.45,3.88,6,1,63.69,3,0,,,CC1CCCN(C(=O)c2csc(Nc3ccc4c(c3)OCO4)n2)C1C
CHEMBL2418811,GSK2833503A,,,Small molecule,,16.0,nM,,,7.8,ANTAGONIST,IC50,CHEMBL2417347,Short transient receptor potential channel 6,2,2013.0; 2024.0,381.90,5.25,4,1,45.23,3,1,,,Cc1sc(Nc2ccc(Cl)cc2F)nc1C(=O)N1CCC[C@H](C)[C@@H]1C
CHEMBL5776256,,,,,,16.2,nM,,,7.79,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,389.43,3.05,5,1,70.87,3,0,,,N#Cc1cnn(C2CC(c3ccc(F)cc3)CC2N2CCC(F)(F)C(N)C2)c1
CHEMBL5754111,,,,,,17.4,nM,,,7.76,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,395.48,3.52,5,2,82.51,4,0,,,N#Cc1ccc(OC2CC(c3ccc(F)c(O)c3)CC2N2CCCC(N)C2)cc1
CHEMBL5895935,,,,,,17.4,nM,,,7.76,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,395.93,4.33,4,1,62.28,4,0,,,N#Cc1ccc(OC2CC(c3ccccc3)CC2N2CCCC(N)C2)c(Cl)c1
CHEMBL5952105,,,,,,17.8,nM,,,7.75,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,356.45,2.73,5,1,64.27,4,0,,,NC1CCCN(C2CC(c3ccc(F)cc3)CC2Oc2cccnn2)C1
CHEMBL5832093,,,,,,19.3,nM,,,7.71,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,413.92,4.47,4,1,62.28,4,0,,,N#Cc1ccc(OC2CC(c3cccc(F)c3)CC2N2CCCC(N)C2)c(Cl)c1
