logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,log2FC,p_value,FDR,t_stat
-2.42582812170911,1.21291406085455,-26.6251828732794,1.84512203447235e-07,6.52702903732963e-06,8.16340688447168,AFAP1L2,-2.42582812170911,1.84512203447235e-07,6.52702903732963e-06,-26.6251828732794
1.0137840172158,0.912960000048341,10.2254591703559,5.08775444382236e-05,0.0002997762115176,1.81297141503968,AFF2,1.0137840172158,5.08775444382236e-05,0.0002997762115176,10.2254591703559
-2.22578320118447,4.74901725082843,-16.3494618375632,3.32290088146342e-06,4.40275898646907e-05,4.93085704117858,AFF3,-2.22578320118447,3.32290088146342e-06,4.40275898646907e-05,-16.3494618375632
1.24913337379725,4.86479887439717,7.69889004006237,0.0002511248345353,0.001025807856471,-0.0177674198506423,AFMID,1.24913337379725,0.0002511248345353,0.001025807856471,7.69889004006237
3.81626432129856,6.76714568909039,45.4644194761771,7.54294264201284e-09,1.08653681228991e-06,11.5082405978128,AFP,3.81626432129856,7.54294264201284e-09,1.08653681228991e-06,45.4644194761771
-1.67654664257019,1.61104126277806,-26.4732398474537,1.90912091128274e-07,6.67063268947664e-06,8.12607272960229,AGAP1,-1.67654664257019,1.90912091128274e-07,6.67063268947664e-06,-26.4732398474537
-1.14400124038207,1.02160404957457,-7.88517657033547,0.0002200318120862,0.00092826143898,0.133666642575234,AGAP12P,-1.14400124038207,0.0002200318120862,0.00092826143898,-7.88517657033547
5.61336412992994,3.1680608642107,31.9226401993976,6.25072217703908e-08,3.44266469733703e-06,9.33395310956434,AGR2,5.61336412992994,6.25072217703908e-08,3.44266469733703e-06,31.9226401993976
-1.4375213347066,4.81132407797966,-21.7306488629873,6.17662733015781e-07,1.41096312895239e-05,6.82687262356941,AGRN,-1.4375213347066,6.17662733015781e-07,1.41096312895239e-05,-21.7306488629873
-1.77374143825742,2.08267505244737,-12.5704717142524,1.54695748266278e-05,0.0001247354426777,3.17709438436117,AGTR1,-1.77374143825742,1.54695748266278e-05,0.0001247354426777,-12.5704717142524
-1.62421284163061,1.73201479676066,-14.5858742951046,6.49598748620273e-06,6.87580173824618e-05,4.16818452440226,AHDC1,-1.62421284163061,6.49598748620273e-06,6.87580173824618e-05,-14.5858742951046
3.61473753716587,4.35009725152026,42.0393502450831,1.20545474919764e-08,1.4078330668409e-06,11.0424066041979,AHSG,3.61473753716587,1.20545474919764e-08,1.4078330668409e-06,42.0393502450831
-1.05043070219111,4.57698586704629,-20.0844920322673,9.85503371739261e-07,1.93790814309636e-05,6.30372577528832,AIFM2,-1.05043070219111,9.85503371739261e-07,1.93790814309636e-05,-20.0844920322673
1.15888031776284,5.20608064638498,15.4620313042161,4.61357476062417e-06,5.46213076392797e-05,4.55788699533482,AIG1,1.15888031776284,4.61357476062417e-06,5.46213076392797e-05,15.4620313042161
1.52755659850481,5.06748690477924,15.6262843343604,4.33587629506682e-06,5.27541966853841e-05,4.62850323853963,AK4,1.52755659850481,4.33587629506682e-06,5.27541966853841e-05,15.6262843343604
-1.01165803581961,2.67860993493647,-12.9809378810462,1.2832853189177e-05,0.0001100273256945,3.39082944214506,AKAP10,-1.01165803581961,1.2832853189177e-05,0.0001100273256945,-12.9809378810462
1.2676782414661,1.73490979794333,10.8244863105897,3.67126384851064e-05,0.0002387698509322,2.18714179008082,AKAP12,1.2676782414661,3.67126384851064e-05,0.0002387698509322,10.8244863105897
1.15173672084994,4.6437597995572,18.8170999836039,1.44958445568553e-06,2.53248639180114e-05,5.86954328200367,AKIRIN1,1.15173672084994,1.44958445568553e-06,2.53248639180114e-05,18.8170999836039
-1.15124126461107,4.95817359317876,-20.7599576142028,8.10034702364423e-07,1.70369434649397e-05,6.5236391085814,AKR1B1,-1.15124126461107,8.10034702364423e-07,1.70369434649397e-05,-20.7599576142028
-3.08285491847034,1.56028863535729,-51.9077267106452,3.4105084961196e-09,7.25947300055985e-07,12.2704253235606,AKR1B10,-3.08285491847034,3.4105084961196e-09,7.25947300055985e-07,-51.9077267106452
1.50377583786549,5.65725534536882,15.4484216563479,4.63749818187849e-06,5.47485934314773e-05,4.55200247830099,AKR1C1,1.50377583786549,4.63749818187849e-06,5.47485934314773e-05,15.4484216563479
2.79460276364201,1.41151616095717,50.180320390887,4.17701428469299e-09,8.22618661703629e-07,12.079175206889,AKR1D1,2.79460276364201,4.17701428469299e-09,8.22618661703629e-07,50.180320390887
-1.0224696702663,5.20586980772049,-12.9441300294112,1.30467284949832e-05,0.000111273869408,3.37192962456683,AKT1S1,-1.0224696702663,1.30467284949832e-05,0.000111273869408,-12.9441300294112
1.01016594229183,5.14073707123875,12.3564164577593,1.7091897705105e-05,0.0001335099076748,3.06297145652037,ALAS1,1.01016594229183,1.7091897705105e-05,0.0001335099076748,12.3564164577593
-2.38431738535452,4.24645514275923,-30.8781788215202,7.62405219349641e-08,4.01204171704722e-06,9.12149982279699,ALCAM,-2.38431738535452,7.62405219349641e-08,4.01204171704722e-06,-30.8781788215202
1.70620028796884,1.15904565452562,27.4839179137187,1.52709935622592e-07,5.960731961629e-06,8.37007292304813,ALDH1L2,1.70620028796884,1.52709935622592e-07,5.960731961629e-06,27.4839179137187
